name,price,date,url
"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",19.99,13:39.5,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR11.TRC1.A0.H0.XEmatic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29.TRS0&_nkw=Ematic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29&_sacat=0
Jensen Portable CD Player with Bass Boost - Black (CD-60C),14.95,13:54.4,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Jensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29&_sacat=0
Woods  Vacuum Cord 20ft - Gray,18.0,34:55.6,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Woods++Vacuum+Cord+20ft+-+Gray&_sacat=0
Nintendo Joy-Con Gaming Controllers - Red/Blue,109.99,35:09.7,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR1.TRC0.A0.H0.XNintendo+Joy-Con+Gaming+Controllers+-+Red%2FBlue.TRS0&_nkw=Nintendo+Joy-Con+Gaming+Controllers+-+Red%2FBlue&_sacat=0
Griffin GB36152-3 Survivor Skin iPod Touch 5th Generation - Blue,10.37,35:25.7,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Griffin+GB36152-3+Survivor+Skin+iPod+Touch+5th+Generation+-+Blue&_sacat=0
"Ematic Low Profile Mount 23-65"" - Black (EMW5105 )",19.99,35:36.8,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR11.TRC1.A0.H0.XEmatic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29.TRS0&_nkw=Ematic+Low+Profile+Mount+23-65%22+-+Black+%28EMW5105+%29&_sacat=0
Assortment Mara Mi Fashion Endcap,6.99,36:02.9,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR12.TRC2.A0.H0.XAssortment+Mara+Mi+Fashion+Endcap.TRS0&_nkw=Assortment+Mara+Mi+Fashion+Endcap&_sacat=0
Sunglasses Bling Phone Charm,13.99,36:13.8,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR12.TRC2.A0.H0.XSunglasses+Bling+Phone+Charm.TRS0&_nkw=Sunglasses+Bling+Phone+Charm&_sacat=0
heyday  Wireless Bluetooth Earbuds - Pizzazz Pink,5.99,36:26.7,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++Wireless+Bluetooth+Earbuds+-+Pizzazz+Pink&_sacat=0
Heyday 6' USB-C to USB-A Round Cable - Pizzazz Pink,7.94,36:41.2,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR12.TRC2.A0.H0.XHeyday+6%27+USB-C+to+USB-A+Round+Cable+-+Pizzazz+Pink.TRS0&_nkw=Heyday+6%27+USB-C+to+USB-A+Round+Cable+-+Pizzazz+Pink&_sacat=0
Assortment Mara Mi Fashion Endcap,6.99,37:06.9,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Assortment+Mara+Mi+Fashion+Endcap&_sacat=0
heyday  Wired In-Ear TPE Earbuds - Whimsical Blue,7.59,37:17.0,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++Wired+In-Ear+TPE+Earbuds+-+Whimsical+Blue&_sacat=0
heyday  Apple iPhone 8/7/6s/6 Case - Orange,9.99,37:30.2,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++Apple+iPhone+8%2F7%2F6s%2F6+Case+-+Orange&_sacat=0
heyday  Apple iPhone 8 Plus/7 Plus/6s Plus/6 Plus Case - Pink,9.99,37:47.3,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR5.TRC1.A0.H0.Xheyday++Apple+iPhone+8+Plus%2F7+Plus%2F6s+Plus%2F6+Plus+Case+-+Pink.TRS0&_nkw=heyday++Apple+iPhone+8+Plus%2F7+Plus%2F6s+Plus%2F6+Plus+Case+-+Pink&_sacat=0
Jensen Portable CD Player with Bass Boost - Black (CD-60C),14.95,37:59.1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Jensen+Portable+CD+Player+with+Bass+Boost+-+Black+%28CD-60C%29&_sacat=0
heyday  2-Port USB Car Charger - Coral,24.99,38:12.2,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++2-Port+USB+Car+Charger+-+Coral&_sacat=0
heyday  3' Audio Aux Cable - Pink,5.24,38:26.2,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++3%27+Audio+Aux+Cable+-+Pink&_sacat=0
Zagg Invisibleshield Glass Screen Protection For Apple Watch 44mm - Clear,19.95,38:42.6,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Zagg+Invisibleshield+Glass+Screen+Protection+For+Apple+Watch+44mm+-+Clear&_sacat=0
heyday  Wireless Earbuds - Gray,11.75,38:55.8,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313.TR11.TRC1.A0.H0.Xheyday++Wireless+Earbuds+-+Gray.TRS0&_nkw=heyday++Wireless+Earbuds+-+Gray&_sacat=0
heyday  Apple iPhone 8/7/6s/6 Print Case - Blurred Floral,9.5,39:16.9,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=heyday++Apple+iPhone+8%2F7%2F6s%2F6+Print+Case+-+Blurred+Floral&_sacat=0
Popsockets Popgrip Cell Phone Grip &#38; Stand - Como Se Llama,7.99,39:31.2,https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=Popsockets+Popgrip+Cell+Phone+Grip+%26%2338%3B+Stand+-+Como+Se+Llama&_sacat=0
